ΚΑΤΑ ΜΑΡΚΟΝ 
Mk 1:1	Ἀρχὴ τοῦ εὐαγγελίου Ἰησοῦ ⸀χριστοῦ. 
Mk 4:8	καὶ ⸀ἄλλα ἔπεσεν εἰς τὴν γῆν τὴν καλήν, καὶ ἐδίδου καρπὸν ἀναβαίνοντα καὶ ⸀αὐξανόμενα, καὶ ἔφερεν ⸂ἓν τριάκοντα καὶ ἓν ἑξήκοντα καὶ ἓν⸃ ἑκατόν. 
Mk 4:9	καὶ ἔλεγεν· ⸂Ὃς ἔχει⸃ ὦτα ἀκούειν ἀκουέτω. 
Mk 4:10	⸂Καὶ ὅτε⸃ ἐγένετο κατὰ μόνας, ⸀ἠρώτων αὐτὸν οἱ περὶ αὐτὸν σὺν τοῖς δώδεκα ⸂τὰς παραβολάς⸃. 
Mk 4:11	καὶ ἔλεγεν αὐτοῖς· Ὑμῖν ⸂τὸ μυστήριον δέδοται⸃ τῆς βασιλείας τοῦ θεοῦ· ἐκείνοις δὲ τοῖς ἔξω ἐν παραβολαῖς τὰ πάντα γίνεται, 
Mk 4:12	ἵνα βλέποντες βλέπωσι καὶ μὴ ἴδωσιν, καὶ ἀκούοντες ἀκούωσι καὶ μὴ συνιῶσιν, μήποτε ἐπιστρέψωσιν καὶ ἀφεθῇ ⸀αὐτοῖς. 
Mk 4:13	Καὶ λέγει αὐτοῖς· Οὐκ οἴδατε τὴν παραβολὴν ταύτην, καὶ πῶς πάσας τὰς παραβολὰς γνώσεσθε; 
Mk 4:14	ὁ σπείρων τὸν λόγον σπείρει. 
Mk 4:15	οὗτοι δέ εἰσιν οἱ παρὰ τὴν ὁδὸν ὅπου σπείρεται ὁ λόγος, καὶ ὅταν ἀκούσωσιν ⸀εὐθὺς ἔρχεται ὁ Σατανᾶς καὶ αἴρει τὸν λόγον τὸν ἐσπαρμένον ⸂εἰς αὐτούς⸃. 
Mk 4:16	καὶ οὗτοί εἰσιν ⸀ὁμοίως οἱ ἐπὶ τὰ πετρώδη σπειρόμενοι, οἳ ὅταν ἀκούσωσιν τὸν λόγον ⸀εὐθὺς μετὰ χαρᾶς λαμβάνουσιν αὐτόν, 
Mk 4:17	καὶ οὐκ ἔχουσιν ῥίζαν ἐν ἑαυτοῖς ἀλλὰ πρόσκαιροί εἰσιν, εἶτα γενομένης θλίψεως ἢ διωγμοῦ διὰ τὸν λόγον ⸀εὐθὺς σκανδαλίζονται. 
Mk 4:18	καὶ ⸀ἄλλοι εἰσὶν οἱ εἰς τὰς ἀκάνθας σπειρόμενοι· ⸂οὗτοί εἰσιν⸃ οἱ τὸν λόγον ⸀ἀκούσαντες, 
Mk 4:19	καὶ αἱ μέριμναι τοῦ ⸀αἰῶνος καὶ ἡ ἀπάτη τοῦ πλούτου καὶ αἱ περὶ τὰ λοιπὰ ἐπιθυμίαι εἰσπορευόμεναι συμπνίγουσιν τὸν λόγον, καὶ ἄκαρπος γίνεται. 
Mk 4:20	καὶ ⸀ἐκεῖνοί εἰσιν οἱ ἐπὶ τὴν γῆν τὴν καλὴν σπαρέντες, οἵτινες ἀκούουσιν τὸν λόγον καὶ παραδέχονται καὶ καρποφοροῦσιν ⸂ἓν τριάκοντα καὶ ἓν ἑξήκοντα καὶ ἓν⸃ ἑκατόν. 
Mk 4:21	Καὶ ἔλεγεν ⸀αὐτοῖς· Μήτι ⸂ἔρχεται ὁ λύχνος⸃ ἵνα ὑπὸ τὸν μόδιον τεθῇ ἢ ὑπὸ τὴν κλίνην, οὐχ ἵνα ἐπὶ τὴν λυχνίαν ⸀τεθῇ; 
Mk 4:22	οὐ γάρ ἐστιν ⸀κρυπτὸν ἐὰν μὴ ⸀ἵνα φανερωθῇ, οὐδὲ ἐγένετο ἀπόκρυφον ἀλλ’ ἵνα ⸂ἔλθῃ εἰς φανερόν⸃. 
Mk 4:23	εἴ τις ἔχει ὦτα ἀκούειν ἀκουέτω. 
Mk 4:24	καὶ ἔλεγεν αὐτοῖς· Βλέπετε τί ἀκούετε. ἐν ᾧ μέτρῳ μετρεῖτε μετρηθήσεται ὑμῖν καὶ προστεθήσεται ⸀ὑμῖν. 
Mk 4:25	ὃς γὰρ ⸀ἔχει, δοθήσεται αὐτῷ· καὶ ὃς οὐκ ἔχει, καὶ ⸀ὃ ἔχει ἀρθήσεται ἀπ’ αὐτοῦ. 
Mk 4:26	Καὶ ἔλεγεν· Οὕτως ἐστὶν ἡ βασιλεία τοῦ θεοῦ ⸀ὡς ἄνθρωπος βάλῃ τὸν σπόρον ἐπὶ τῆς γῆς 
Mk 4:27	καὶ καθεύδῃ καὶ ἐγείρηται νύκτα καὶ ἡμέραν, καὶ ὁ σπόρος ⸀βλαστᾷ καὶ μηκύνηται ὡς οὐκ οἶδεν αὐτός. 
Mk 4:28	⸀αὐτομάτη ἡ γῆ καρποφορεῖ, πρῶτον χόρτον, ⸂εἶτα στάχυν, εἶτα⸃ ⸂πλήρης σῖτον⸃ ἐν τῷ στάχυϊ. 
Mk 4:29	ὅταν δὲ ⸀παραδοῖ ὁ καρπός, ⸀εὐθὺς ἀποστέλλει τὸ δρέπανον, ὅτι παρέστηκεν ὁ θερισμός. 
Mk 4:30	Καὶ ἔλεγεν· ⸀Πῶς ὁμοιώσωμεν τὴν βασιλείαν τοῦ θεοῦ, ἢ ἐν ⸀τίνι ⸂αὐτὴν παραβολῇ θῶμεν⸃; 
Mk 4:31	ὡς ⸀κόκκῳ σινάπεως, ὃς ὅταν σπαρῇ ἐπὶ τῆς γῆς, ⸂μικρότερον ὂν⸃ πάντων τῶν ⸀σπερμάτων τῶν ἐπὶ τῆς γῆς— 
Mk 4:32	καὶ ὅταν σπαρῇ, ἀναβαίνει καὶ γίνεται ⸂μεῖζον πάντων τῶν λαχάνων⸃ καὶ ποιεῖ κλάδους μεγάλους, ὥστε δύνασθαι ὑπὸ τὴν σκιὰν αὐτοῦ τὰ πετεινὰ τοῦ οὐρανοῦ κατασκηνοῦν. 
Mk 4:33	Καὶ τοιαύταις παραβολαῖς πολλαῖς ἐλάλει αὐτοῖς τὸν λόγον, καθὼς ἠδύναντο ἀκούειν· 
Mk 4:34	χωρὶς δὲ παραβολῆς οὐκ ἐλάλει αὐτοῖς, κατ’ ἰδίαν δὲ τοῖς ⸂ἰδίοις μαθηταῖς⸃ ἐπέλυεν πάντα. 
Mk 4:35	Καὶ λέγει αὐτοῖς ἐν ἐκείνῃ τῇ ἡμέρᾳ ὀψίας γενομένης· Διέλθωμεν εἰς τὸ πέραν. 
Mk 4:36	καὶ ἀφέντες τὸν ὄχλον παραλαμβάνουσιν αὐτὸν ὡς ἦν ἐν τῷ πλοίῳ, καὶ ἄλλα ⸀πλοῖα ἦν μετ’ αὐτοῦ. 
Mk 4:37	καὶ γίνεται λαῖλαψ ⸂μεγάλη ἀνέμου⸃, ⸂καὶ τὰ⸃ κύματα ἐπέβαλλεν εἰς τὸ πλοῖον, ὥστε ⸂ἤδη γεμίζεσθαι τὸ πλοῖον⸃. 
Mk 4:38	καὶ ⸂αὐτὸς ἦν⸃ ⸀ἐν τῇ πρύμνῃ ἐπὶ τὸ προσκεφάλαιον καθεύδων· καὶ ⸀ἐγείρουσιν αὐτὸν καὶ λέγουσιν αὐτῷ· Διδάσκαλε, οὐ μέλει σοι ὅτι ἀπολλύμεθα; 
Mk 4:39	καὶ διεγερθεὶς ἐπετίμησεν τῷ ἀνέμῳ καὶ εἶπεν τῇ θαλάσσῃ· Σιώπα, πεφίμωσο. καὶ ἐκόπασεν ὁ ἄνεμος, καὶ ἐγένετο γαλήνη μεγάλη. 
Mk 4:40	καὶ εἶπεν αὐτοῖς· Τί δειλοί ἐστε; ⸀οὔπω ἔχετε πίστιν; 
Mk 4:41	καὶ ἐφοβήθησαν φόβον μέγαν, καὶ ἔλεγον πρὸς ἀλλήλους· Τίς ἄρα οὗτός ἐστιν ὅτι καὶ ὁ ἄνεμος καὶ ἡ θάλασσα ⸀ὑπακούει αὐτῷ; 
Mk 5:1	Καὶ ἦλθον εἰς τὸ πέραν τῆς θαλάσσης εἰς τὴν χώραν τῶν ⸀Γερασηνῶν. 
Mk 5:2	καὶ ⸂ἐξελθόντος αὐτοῦ⸃ ἐκ τοῦ πλοίου ⸂εὐθὺς ὑπήντησεν⸃ αὐτῷ ἐκ τῶν μνημείων ἄνθρωπος ἐν πνεύματι ἀκαθάρτῳ, 
Mk 5:3	ὃς τὴν κατοίκησιν εἶχεν ἐν τοῖς μνήμασιν, καὶ ⸂οὐδὲ ἁλύσει οὐκέτι⸃ οὐδεὶς ἐδύνατο αὐτὸν δῆσαι 
Mk 5:4	διὰ τὸ αὐτὸν πολλάκις πέδαις καὶ ἁλύσεσι δεδέσθαι καὶ διεσπάσθαι ὑπ’ αὐτοῦ τὰς ἁλύσεις καὶ τὰς πέδας συντετρῖφθαι, καὶ οὐδεὶς ⸂ἴσχυεν αὐτὸν⸃ δαμάσαι· 
Mk 5:5	καὶ διὰ παντὸς νυκτὸς καὶ ἡμέρας ἐν τοῖς ⸂μνήμασιν καὶ ἐν τοῖς ὄρεσιν⸃ ἦν κράζων καὶ κατακόπτων ἑαυτὸν λίθοις. 
Mk 5:6	⸂καὶ ἰδὼν⸃ τὸν Ἰησοῦν ἀπὸ μακρόθεν ἔδραμεν καὶ προσεκύνησεν ⸀αὐτόν, 
Mk 5:7	καὶ κράξας φωνῇ μεγάλῃ ⸀λέγει· Τί ἐμοὶ καὶ σοί, Ἰησοῦ υἱὲ τοῦ θεοῦ τοῦ ὑψίστου; ὁρκίζω σε τὸν θεόν, μή με βασανίσῃς. 
Mk 5:8	ἔλεγεν γὰρ αὐτῷ· Ἔξελθε τὸ πνεῦμα τὸ ἀκάθαρτον ἐκ τοῦ ἀνθρώπου. 
Mk 5:9	καὶ ἐπηρώτα αὐτόν· Τί ⸂ὄνομά σοι⸃; καὶ ⸂λέγει αὐτῷ⸃· ⸀Λεγιὼν ὄνομά μοι, ὅτι πολλοί ἐσμεν· 
Mk 5:10	καὶ παρεκάλει αὐτὸν πολλὰ ἵνα μὴ ⸀αὐτὰ ἀποστείλῃ ἔξω τῆς χώρας. 
Mk 5:11	ἦν δὲ ἐκεῖ πρὸς τῷ ὄρει ἀγέλη χοίρων μεγάλη βοσκομένη· 
Mk 5:12	καὶ παρεκάλεσαν ⸀αὐτὸν λέγοντες· Πέμψον ἡμᾶς εἰς τοὺς χοίρους, ἵνα εἰς αὐτοὺς εἰσέλθωμεν. 
Mk 5:13	καὶ ἐπέτρεψεν ⸀αὐτοῖς. καὶ ἐξελθόντα τὰ πνεύματα τὰ ἀκάθαρτα εἰσῆλθον εἰς τοὺς χοίρους, καὶ ὥρμησεν ἡ ἀγέλη κατὰ τοῦ κρημνοῦ εἰς τὴν θάλασσαν, ⸀ὡς δισχίλιοι, καὶ ἐπνίγοντο ἐν τῇ θαλάσσῃ. 
Mk 5:14	⸂Καὶ οἱ⸃ βόσκοντες ⸀αὐτοὺς ἔφυγον καὶ ⸀ἀπήγγειλαν εἰς τὴν πόλιν καὶ εἰς τοὺς ἀγρούς· καὶ ⸀ἦλθον ἰδεῖν τί ἐστιν τὸ γεγονός. 
Mk 5:15	καὶ ἔρχονται πρὸς τὸν Ἰησοῦν, καὶ θεωροῦσιν τὸν δαιμονιζόμενον ⸀καθήμενον ἱματισμένον καὶ σωφρονοῦντα, τὸν ἐσχηκότα τὸν ⸀λεγιῶνα, καὶ ἐφοβήθησαν. 
Mk 5:16	⸂καὶ διηγήσαντο⸃ αὐτοῖς οἱ ἰδόντες πῶς ἐγένετο τῷ δαιμονιζομένῳ καὶ περὶ τῶν χοίρων. 
Mk 5:17	καὶ ἤρξαντο παρακαλεῖν αὐτὸν ἀπελθεῖν ἀπὸ τῶν ὁρίων αὐτῶν. 
Mk 5:18	καὶ ⸀ἐμβαίνοντος αὐτοῦ εἰς τὸ πλοῖον παρεκάλει αὐτὸν ὁ δαιμονισθεὶς ἵνα ⸂μετ’ αὐτοῦ ᾖ⸃. 
Mk 5:19	⸀καὶ οὐκ ἀφῆκεν αὐτόν, ἀλλὰ λέγει αὐτῷ· Ὕπαγε εἰς τὸν οἶκόν σου πρὸς τοὺς σούς, καὶ ⸀ἀπάγγειλον αὐτοῖς ὅσα ⸂ὁ κύριός σοι⸃ πεποίηκεν καὶ ἠλέησέν σε. 
Mk 5:20	καὶ ἀπῆλθεν καὶ ἤρξατο κηρύσσειν ἐν τῇ Δεκαπόλει ὅσα ἐποίησεν αὐτῷ ὁ Ἰησοῦς, καὶ πάντες ἐθαύμαζον. 
Mk 5:21	Καὶ διαπεράσαντος τοῦ Ἰησοῦ ἐν τῷ πλοίῳ πάλιν εἰς τὸ πέραν συνήχθη ὄχλος πολὺς ἐπ’ αὐτόν, καὶ ἦν παρὰ τὴν θάλασσαν. 
Mk 5:22	⸀καὶ ἔρχεται εἷς τῶν ἀρχισυναγώγων, ὀνόματι Ἰάϊρος, καὶ ἰδὼν αὐτὸν πίπτει πρὸς τοὺς πόδας αὐτοῦ 
Mk 5:23	καὶ ⸀παρακαλεῖ αὐτὸν πολλὰ λέγων ὅτι Τὸ θυγάτριόν μου ἐσχάτως ἔχει, ἵνα ἐλθὼν ἐπιθῇς ⸂τὰς χεῖρας αὐτῇ⸃ ⸀ἵνα σωθῇ καὶ ⸀ζήσῃ. 
Mk 5:24	καὶ ἀπῆλθεν μετ’ αὐτοῦ. Καὶ ἠκολούθει αὐτῷ ὄχλος πολύς, καὶ συνέθλιβον αὐτόν. 
Mk 5:25	καὶ ⸀γυνὴ οὖσα ἐν ῥύσει αἵματος ⸂δώδεκα ἔτη⸃ 
Mk 5:26	καὶ πολλὰ παθοῦσα ὑπὸ πολλῶν ἰατρῶν καὶ δαπανήσασα τὰ παρ’ αὐτῆς πάντα καὶ μηδὲν ὠφεληθεῖσα ἀλλὰ μᾶλλον εἰς τὸ χεῖρον ἐλθοῦσα, 
Mk 5:27	⸀ἀκούσασα περὶ τοῦ Ἰησοῦ, ἐλθοῦσα ἐν τῷ ὄχλῳ ὄπισθεν ἥψατο τοῦ ἱματίου αὐτοῦ· 
Mk 5:28	ἔλεγεν γὰρ ὅτι ⸂Ἐὰν ἅψωμαι κἂν τῶν ἱματίων αὐτοῦ⸃ σωθήσομαι. 
Mk 5:29	καὶ ⸀εὐθὺς ἐξηράνθη ἡ πηγὴ τοῦ αἵματος αὐτῆς, καὶ ἔγνω τῷ σώματι ὅτι ἴαται ἀπὸ τῆς μάστιγος. 
Mk 5:30	καὶ ⸀εὐθὺς ὁ Ἰησοῦς ἐπιγνοὺς ἐν ἑαυτῷ τὴν ἐξ αὐτοῦ δύναμιν ἐξελθοῦσαν ἐπιστραφεὶς ἐν τῷ ὄχλῳ ἔλεγεν· Τίς μου ἥψατο τῶν ἱματίων; 
Mk 5:31	καὶ ἔλεγον αὐτῷ οἱ μαθηταὶ αὐτοῦ· Βλέπεις τὸν ὄχλον συνθλίβοντά σε, καὶ λέγεις· Τίς μου ἥψατο; 
Mk 5:32	καὶ περιεβλέπετο ἰδεῖν τὴν τοῦτο ποιήσασαν. 
Mk 5:33	ἡ δὲ γυνὴ φοβηθεῖσα καὶ τρέμουσα, εἰδυῖα ὃ γέγονεν ⸀αὐτῇ, ἦλθεν καὶ προσέπεσεν αὐτῷ καὶ εἶπεν αὐτῷ πᾶσαν τὴν ἀλήθειαν. 
Mk 5:34	ὁ δὲ εἶπεν αὐτῇ· ⸀Θυγάτηρ, ἡ πίστις σου σέσωκέν σε· ὕπαγε εἰς εἰρήνην, καὶ ἴσθι ὑγιὴς ἀπὸ τῆς μάστιγός σου. 
Mk 5:35	Ἔτι αὐτοῦ λαλοῦντος ἔρχονται ἀπὸ τοῦ ἀρχισυναγώγου λέγοντες ὅτι Ἡ θυγάτηρ σου ἀπέθανεν· τί ἔτι σκύλλεις τὸν διδάσκαλον; 
Mk 5:36	ὁ δὲ Ἰησοῦς ⸀παρακούσας τὸν λόγον λαλούμενον λέγει τῷ ἀρχισυναγώγῳ· Μὴ φοβοῦ, μόνον πίστευε. 
Mk 5:37	καὶ οὐκ ἀφῆκεν οὐδένα ⸂μετ’ αὐτοῦ⸃ συνακολουθῆσαι εἰ μὴ ⸀τὸν Πέτρον καὶ Ἰάκωβον καὶ Ἰωάννην τὸν ἀδελφὸν Ἰακώβου. 
Mk 5:38	καὶ ⸀ἔρχονται εἰς τὸν οἶκον τοῦ ἀρχισυναγώγου, καὶ θεωρεῖ θόρυβον ⸀καὶ κλαίοντας καὶ ἀλαλάζοντας πολλά, 
Mk 5:39	καὶ εἰσελθὼν λέγει αὐτοῖς· Τί θορυβεῖσθε καὶ κλαίετε; τὸ παιδίον οὐκ ἀπέθανεν ἀλλὰ καθεύδει. 
Mk 5:40	καὶ κατεγέλων αὐτοῦ. ⸀αὐτὸς δὲ ἐκβαλὼν πάντας παραλαμβάνει τὸν πατέρα τοῦ παιδίου καὶ τὴν μητέρα καὶ τοὺς μετ’ αὐτοῦ, καὶ εἰσπορεύεται ὅπου ἦν τὸ ⸀παιδίον· 
Mk 5:41	καὶ κρατήσας τῆς χειρὸς τοῦ παιδίου λέγει αὐτῇ· Ταλιθα ⸀κουμ, ὅ ἐστιν μεθερμηνευόμενον· Τὸ κοράσιον, σοὶ λέγω, ⸀ἔγειρε. 
Mk 5:42	καὶ ⸀εὐθὺς ἀνέστη τὸ κοράσιον καὶ περιεπάτει, ἦν γὰρ ἐτῶν δώδεκα. καὶ ἐξέστησαν ⸁εὐθὺς ἐκστάσει μεγάλῃ. 
Mk 5:43	καὶ διεστείλατο αὐτοῖς πολλὰ ἵνα μηδεὶς γνοῖ τοῦτο, καὶ εἶπεν δοθῆναι αὐτῇ φαγεῖν. 
Mk 6:1	Καὶ ἐξῆλθεν ἐκεῖθεν, καὶ ⸀ἔρχεται εἰς τὴν πατρίδα αὐτοῦ, καὶ ἀκολουθοῦσιν αὐτῷ οἱ μαθηταὶ αὐτοῦ. 
Mk 6:2	καὶ γενομένου σαββάτου ἤρξατο ⸂διδάσκειν ἐν τῇ συναγωγῇ⸃· καὶ ⸀οἱ πολλοὶ ἀκούοντες ἐξεπλήσσοντο λέγοντες· Πόθεν τούτῳ ταῦτα, καὶ τίς ἡ σοφία ἡ δοθεῖσα ⸀τούτῳ, καὶ ⸀αἱ δυνάμεις τοιαῦται διὰ τῶν χειρῶν αὐτοῦ ⸀γινόμεναι; 
Mk 6:3	οὐχ οὗτός ἐστιν ὁ τέκτων, ὁ υἱὸς ⸀τῆς Μαρίας ⸂καὶ ἀδελφὸς⸃ Ἰακώβου καὶ ⸀Ἰωσῆτος καὶ Ἰούδα καὶ Σίμωνος; καὶ οὐκ εἰσὶν αἱ ἀδελφαὶ αὐτοῦ ὧδε πρὸς ἡμᾶς; καὶ ἐσκανδαλίζοντο ἐν αὐτῷ. 
Mk 6:4	⸂καὶ ἔλεγεν⸃ αὐτοῖς ὁ Ἰησοῦς ὅτι Οὐκ ἔστιν προφήτης ἄτιμος εἰ μὴ ἐν τῇ πατρίδι αὐτοῦ καὶ ἐν τοῖς ⸂συγγενεῦσιν αὐτοῦ⸃ καὶ ἐν τῇ οἰκίᾳ αὐτοῦ. 
Mk 6:5	καὶ οὐκ ἐδύνατο ἐκεῖ ⸂ποιῆσαι οὐδεμίαν δύναμιν⸃, εἰ μὴ ὀλίγοις ἀρρώστοις ἐπιθεὶς τὰς χεῖρας ἐθεράπευσεν· 
Mk 6:6	καὶ ⸀ἐθαύμαζεν διὰ τὴν ἀπιστίαν αὐτῶν. Καὶ περιῆγεν τὰς κώμας κύκλῳ διδάσκων. 
Mk 6:7	καὶ προσκαλεῖται τοὺς δώδεκα, καὶ ἤρξατο αὐτοὺς ἀποστέλλειν δύο δύο, καὶ ἐδίδου αὐτοῖς ἐξουσίαν τῶν πνευμάτων τῶν ἀκαθάρτων, 
Mk 6:8	καὶ παρήγγειλεν αὐτοῖς ἵνα μηδὲν αἴρωσιν εἰς ὁδὸν εἰ μὴ ῥάβδον μόνον, μὴ ⸂ἄρτον, μὴ πήραν⸃, μὴ εἰς τὴν ζώνην χαλκόν, 
Mk 6:9	ἀλλὰ ὑποδεδεμένους σανδάλια, καὶ μὴ ⸀ἐνδύσησθε δύο χιτῶνας. 
Mk 6:10	καὶ ἔλεγεν αὐτοῖς· Ὅπου ⸀ἐὰν εἰσέλθητε εἰς οἰκίαν, ἐκεῖ μένετε ἕως ἂν ἐξέλθητε ἐκεῖθεν. 
Mk 6:11	καὶ ⸂ὃς ἂν τόπος μὴ δέξηται⸃ ὑμᾶς μηδὲ ἀκούσωσιν ὑμῶν, ἐκπορευόμενοι ἐκεῖθεν ἐκτινάξατε τὸν χοῦν τὸν ὑποκάτω τῶν ποδῶν ὑμῶν εἰς μαρτύριον ⸀αὐτοῖς. 
Mk 6:12	Καὶ ἐξελθόντες ⸀ἐκήρυξαν ἵνα ⸀μετανοῶσιν, 
Mk 6:13	καὶ δαιμόνια πολλὰ ἐξέβαλλον, καὶ ἤλειφον ἐλαίῳ πολλοὺς ἀρρώστους καὶ ἐθεράπευον. 
Mk 6:14	Καὶ ἤκουσεν ὁ βασιλεὺς Ἡρῴδης, φανερὸν γὰρ ἐγένετο τὸ ὄνομα αὐτοῦ, καὶ ⸀ἔλεγον ὅτι Ἰωάννης ὁ βαπτίζων ⸂ἐγήγερται ἐκ νεκρῶν⸃, καὶ διὰ τοῦτο ἐνεργοῦσιν αἱ δυνάμεις ἐν αὐτῷ· 
Mk 6:15	ἄλλοι ⸀δὲ ἔλεγον ὅτι Ἠλίας ἐστίν· ἄλλοι δὲ ἔλεγον ὅτι ⸀προφήτης ὡς εἷς τῶν προφητῶν. 
Mk 6:16	ἀκούσας δὲ ⸀ὁ Ἡρῴδης ⸀ἔλεγεν· Ὃν ἐγὼ ἀπεκεφάλισα Ἰωάννην, οὗτος ⸀ἠγέρθη. 
Mk 6:17	Αὐτὸς γὰρ ὁ Ἡρῴδης ἀποστείλας ἐκράτησεν τὸν Ἰωάννην καὶ ἔδησεν αὐτὸν ἐν φυλακῇ διὰ Ἡρῳδιάδα τὴν γυναῖκα Φιλίππου τοῦ ἀδελφοῦ αὐτοῦ, ὅτι αὐτὴν ἐγάμησεν· 
Mk 6:18	ἔλεγεν γὰρ ὁ Ἰωάννης τῷ Ἡρῴδῃ ὅτι Οὐκ ἔξεστίν σοι ἔχειν τὴν γυναῖκα τοῦ ἀδελφοῦ σου. 
Mk 6:19	ἡ δὲ Ἡρῳδιὰς ἐνεῖχεν αὐτῷ καὶ ἤθελεν αὐτὸν ἀποκτεῖναι, καὶ οὐκ ἠδύνατο· 
Mk 6:20	ὁ γὰρ Ἡρῴδης ἐφοβεῖτο τὸν Ἰωάννην, εἰδὼς αὐτὸν ἄνδρα δίκαιον καὶ ἅγιον, καὶ συνετήρει αὐτόν, καὶ ἀκούσας αὐτοῦ πολλὰ ⸀ἠπόρει, καὶ ἡδέως αὐτοῦ ἤκουεν. 
Mk 6:21	Καὶ γενομένης ἡμέρας εὐκαίρου ὅτε Ἡρῴδης τοῖς γενεσίοις αὐτοῦ δεῖπνον ⸀ἐποίησεν τοῖς μεγιστᾶσιν αὐτοῦ καὶ τοῖς χιλιάρχοις καὶ τοῖς πρώτοις τῆς Γαλιλαίας, 
Mk 6:22	καὶ εἰσελθούσης τῆς θυγατρὸς ⸂αὐτῆς τῆς⸃ Ἡρῳδιάδος καὶ ὀρχησαμένης ⸂καὶ ἀρεσάσης⸃ τῷ Ἡρῴδῃ καὶ τοῖς συνανακειμένοις, ⸂εἶπεν ὁ βασιλεὺς⸃ τῷ κορασίῳ· Αἴτησόν με ὃ ἐὰν θέλῃς, καὶ δώσω σοι· 
Mk 6:23	καὶ ὤμοσεν ⸀αὐτῇ· ⸂Ὅ τι⸃ ἐάν με αἰτήσῃς δώσω σοι ἕως ἡμίσους τῆς βασιλείας μου. 
Mk 6:24	⸀καὶ ἐξελθοῦσα εἶπεν τῇ μητρὶ αὐτῆς· Τί ⸀αἰτήσωμαι; ἡ δὲ εἶπεν· Τὴν κεφαλὴν Ἰωάννου τοῦ ⸀βαπτίζοντος. 
Mk 6:25	καὶ εἰσελθοῦσα ⸀εὐθὺς μετὰ σπουδῆς πρὸς τὸν βασιλέα ᾐτήσατο λέγουσα· Θέλω ἵνα ⸂ἐξαυτῆς δῷς μοι⸃ ἐπὶ πίνακι τὴν κεφαλὴν Ἰωάννου τοῦ βαπτιστοῦ. 
Mk 6:26	καὶ περίλυπος γενόμενος ὁ βασιλεὺς διὰ τοὺς ὅρκους καὶ τοὺς ⸀ἀνακειμένους οὐκ ἠθέλησεν ⸂ἀθετῆσαι αὐτήν⸃· 
Mk 6:27	καὶ ⸀εὐθὺς ἀποστείλας ὁ βασιλεὺς σπεκουλάτορα ἐπέταξεν ⸀ἐνέγκαι τὴν κεφαλὴν αὐτοῦ. ⸀καὶ ἀπελθὼν ἀπεκεφάλισεν αὐτὸν ἐν τῇ φυλακῇ 
Mk 6:28	καὶ ἤνεγκεν τὴν κεφαλὴν αὐτοῦ ἐπὶ πίνακι καὶ ἔδωκεν αὐτὴν τῷ κορασίῳ, καὶ τὸ κοράσιον ἔδωκεν αὐτὴν τῇ μητρὶ αὐτῆς. 
Mk 6:29	καὶ ἀκούσαντες οἱ μαθηταὶ αὐτοῦ ἦλθον καὶ ἦραν τὸ πτῶμα αὐτοῦ καὶ ἔθηκαν αὐτὸ ἐν μνημείῳ. 
Mk 6:30	Καὶ συνάγονται οἱ ἀπόστολοι πρὸς τὸν Ἰησοῦν, καὶ ἀπήγγειλαν αὐτῷ ⸀πάντα ὅσα ἐποίησαν καὶ ὅσα ἐδίδαξαν. 
Mk 6:31	καὶ ⸀λέγει αὐτοῖς· Δεῦτε ὑμεῖς αὐτοὶ κατ’ ἰδίαν εἰς ἔρημον τόπον καὶ ⸀ἀναπαύσασθε ὀλίγον. ἦσαν γὰρ οἱ ἐρχόμενοι καὶ οἱ ὑπάγοντες πολλοί, καὶ οὐδὲ φαγεῖν εὐκαίρουν. 
Mk 6:32	καὶ ἀπῆλθον ⸂ἐν τῷ πλοίῳ εἰς ἔρημον τόπον⸃ κατ’ ἰδίαν. 
Mk 6:33	καὶ εἶδον αὐτοὺς ὑπάγοντας καὶ ⸀ἐπέγνωσαν πολλοί, καὶ πεζῇ ἀπὸ πασῶν τῶν πόλεων συνέδραμον ἐκεῖ καὶ προῆλθον ⸀αὐτούς. 
Mk 6:34	καὶ ἐξελθὼν ⸀εἶδεν πολὺν ὄχλον, καὶ ἐσπλαγχνίσθη ἐπ’ ⸀αὐτοὺς ὅτι ἦσαν ὡς πρόβατα μὴ ἔχοντα ποιμένα, καὶ ἤρξατο διδάσκειν αὐτοὺς πολλά. 
Mk 6:35	Καὶ ἤδη ὥρας πολλῆς γενομένης προσελθόντες αὐτῷ οἱ μαθηταὶ αὐτοῦ ⸀ἔλεγον ὅτι Ἔρημός ἐστιν ὁ τόπος, καὶ ἤδη ὥρα πολλή· 
Mk 6:36	ἀπόλυσον αὐτούς, ἵνα ἀπελθόντες εἰς τοὺς κύκλῳ ἀγροὺς καὶ κώμας ἀγοράσωσιν ἑαυτοῖς ⸂τί φάγωσιν⸃. 
Mk 6:37	ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς· Δότε αὐτοῖς ὑμεῖς φαγεῖν. καὶ λέγουσιν αὐτῷ· Ἀπελθόντες ἀγοράσωμεν δηναρίων διακοσίων ἄρτους καὶ ⸀δώσομεν αὐτοῖς φαγεῖν; 
